frame,time_sec,model_tag,class_id,class_name,confidence,x1,y1,x2,y2
1,0.033,coco_yolov8s,0,person,0.3029,1833.7,0.7,1919.6,196.9
1,0.033,coco_yolov8s,0,person,0.2717,1827.0,1.1,1919.4,431.5
4,0.133,coco_yolov8s,0,person,0.5489,1742.5,77.8,1919.1,295.8
5,0.167,coco_yolov8s,0,person,0.4284,1793.7,300.0,1919.4,557.2
6,0.200,coco_yolov8s,0,person,0.5393,1029.1,460.5,1169.6,846.4
6,0.200,coco_yolov8s,0,person,0.3366,1727.1,0.7,1919.0,392.2
6,0.200,coco_yolov8s,0,person,0.2775,1727.6,0.0,1919.3,561.1
7,0.233,coco_yolov8s,0,person,0.3759,1027.6,459.3,1163.9,840.8
7,0.233,coco_yolov8s,0,person,0.3072,1716.9,0.9,1919.5,441.3
7,0.233,coco_yolov8s,0,person,0.2538,1768.1,307.0,1918.8,577.8
8,0.267,coco_yolov8s,0,person,0.6989,1025.7,457.9,1162.3,839.8
8,0.267,coco_yolov8s,0,person,0.4380,1716.6,76.5,1918.9,467.3
9,0.300,coco_yolov8s,0,person,0.6103,1022.5,463.4,1162.2,840.9
9,0.300,coco_yolov8s,0,person,0.5231,1720.0,79.9,1918.9,505.8
9,0.300,coco_yolov8s,0,person,0.2739,1725.9,59.5,1919.2,694.7
10,0.333,coco_yolov8s,0,person,0.5609,1719.1,3.0,1919.2,472.1
10,0.333,coco_yolov8s,0,person,0.4573,1027.3,468.9,1161.4,840.9
10,0.333,coco_yolov8s,0,person,0.4507,1758.4,324.7,1918.9,696.9
11,0.367,coco_yolov8s,0,person,0.4441,1723.8,42.7,1919.6,684.1
11,0.367,coco_yolov8s,0,person,0.4378,1029.2,482.1,1160.1,841.4
11,0.367,coco_yolov8s,0,person,0.3670,1723.5,63.1,1919.1,502.6
12,0.400,coco_yolov8s,0,person,0.8274,1724.1,55.4,1919.9,702.0
12,0.400,coco_yolov8s,0,person,0.6362,1023.8,478.0,1160.1,842.3
13,0.433,coco_yolov8s,0,person,0.8897,1723.4,74.0,1919.6,703.3
13,0.433,coco_yolov8s,0,person,0.3635,1021.0,491.0,1160.9,841.1
14,0.467,coco_yolov8s,0,person,0.9094,1714.2,95.3,1919.6,711.6
15,0.500,coco_yolov8s,0,person,0.5466,1698.5,79.7,1919.7,703.3
16,0.533,coco_yolov8s,0,person,0.7765,1683.1,82.5,1919.1,715.1
17,0.567,coco_yolov8s,0,person,0.7759,1642.3,84.1,1919.3,711.3
18,0.600,coco_yolov8s,0,person,0.5346,1587.7,86.2,1919.5,716.8
19,0.633,coco_yolov8s,0,person,0.7746,1565.2,84.0,1918.5,725.8
20,0.667,coco_yolov8s,0,person,0.8617,1555.8,91.0,1920.0,720.0
21,0.700,coco_yolov8s,0,person,0.8053,1550.7,94.3,1911.6,721.3
22,0.733,coco_yolov8s,0,person,0.7032,1540.5,98.7,1900.1,719.9
22,0.733,coco_yolov8s,0,person,0.2893,1843.3,0.8,1919.6,182.8
